,created_at,tweet_id,tweet_username,user_name,tweet_text,tweet_likes,tweet_retweets
0,2021-04-24 17:21:25,1386007383885828102,iamrakeshag,Rakesh Agarwal,"RT @Tejasvi_Surya: Earlier, I visited St John’s Medical College to inspect COVID preparedness

Made arrangements to increase oxygen supply…",0,218
1,2021-04-24 17:21:25,1386007382782738434,Nandhin94378096,ராஜாமகள்..,"RT @WasimJaffer14: Hello Twitter,
Pease suggest what I can do as a public figure with a verified Twitter account to help in this fight agai…",0,353
2,2021-04-24 17:21:25,1386007382740803588,kapilsingh_19,Kapil Singh Rathore,"RT @dr_lathar: Hi I am Dr Mohit Lathar MD from Safe Hands Hospital Gurugram. I have around 18 very sick covid patients in the hospital, few…",0,2009
3,2021-04-24 17:21:25,1386007382216433664,Darthsoul0,Føřəvəŕ Ķn!ghť,"Singapore, Australia, Japan have also come forward to stand with India during Covid crisis.

Some others nations are also showing support but also want to occupy India's territory.",0,0
4,2021-04-24 17:21:25,1386007382178729984,satya_kg,Satya। ರೆಬೆಲ್🌐,RT @sanjukta: Finally Modi government has taken a bold decision to handle COVID-19 crisis. It asked Twitter and other social media platform…,0,28
5,2021-04-24 17:21:25,1386007382103183361,Jay72410100,Jay,"RT @bhak_sala: I pledge that once Covid dust settles down, I will work with my team to create atleast one indigenous technology that will r…",0,301
6,2021-04-24 17:21:25,1386007381981634562,V_Trips7781,Vaibhav_MSDianForever,"RT @WasimJaffer14: Hello Twitter,
Pease suggest what I can do as a public figure with a verified Twitter account to help in this fight agai…",0,353
7,2021-04-24 17:21:25,1386007381532884998,sarahgailbrand,Dr Sarah Brand,"@MEarth86 @jcm247 are they marching for my friend's otherwise healthy best mate who at 30, has had his entire lower bowel removed due to covid and probably has less than a year to live?",0,0
8,2021-04-24 17:21:25,1386007381486620672,mearajansari,Mohd Mearaj Ansari,"RT @VeeryaSorry: For last 5 days, @KanganaTeam's
Tweet Analysis:

Defending Modi:14
Trolling Opposition: 8
Random Gyan: 5
Self Praise: 4
Tr…",0,970
9,2021-04-24 17:21:25,1386007381016924163,rljit86,sandy,"RT @bainjal: Shahrukh people are gasping for breath, dying &amp; covid rages you must be the only person feeling any “joy” at the moment. What…",0,42
10,2021-04-24 17:21:25,1386007380920471556,Harpree04229949,Harpreet Singh,RT @LuvDatta_INC: The hospital waited for the Home Minister to come and inaugurate the newly made bed facilities that are made for Covid pa…,0,112
11,2021-04-24 17:21:25,1386007380882718720,abhay_venkat4,Abhay Venkatesh,"RT @mybmc: If you need a COVID bed at a hospital in Mumbai, this thread of tweets is for you.

If you are promising a bed to someone in nee…",0,1074
12,2021-04-24 17:21:25,1386007380790444034,Parikau16692134,Parikaur,RT @amarpreet_ka: Khalsa Aid to provide free oxygen concentrators to Covid-19 patients in Delhi https://t.co/qJ476eHGd8,0,191
13,2021-04-24 17:21:24,1386007380576509956,Chandan62604947,Chandan Jha,RT @RanaAyyub: Devastating images of patients dying for lack of oxygen. India has failed its people like never before. My latest report for…,0,2259
14,2021-04-24 17:21:24,1386007380278792196,KhubaibMkf,M.KHUBAIB FARHAD,"RT @Dil_81: If the situation worsens with Covid, Gov will be forced to lock down. The third wave of Covid is dangerous. No one can say how…",0,8
15,2021-04-24 17:21:24,1386007380165496836,DeafnStoned,leif,"RT @JDCocchiarella: #ThankYouJoe for my fully vaccinated household. 

#ThankYouJoe for not suggesting bleach as a cure for COVID.

#ThankYo…",0,432
16,2021-04-24 17:21:24,1386007380127748102,JohnMCooper8,John M. Cooper,"RT @MorganNarrates: Dying of COVID
Is very overrated 
For everyone’s sake
#PleaseGetVaccinated",0,60
17,2021-04-24 17:21:24,1386007380123549699,kowshikbio,kowshik,"RT @imjadeja: Right now more than ever we need to be united in our fight against Covid-19. Please wear a mask,follow social distancing and…",0,1839
